sex,age_group,year,state,number_of_death
Male,Under 1 year,2013,Penang,78
Male,1-4,2013,Penang,14
Male,5-9,2013,Penang,16
Male,10-14,2013,Penang,23
Male,15-19,2013,Penang,69
Male,20-24,2013,Penang,74
Male,25-29,2013,Penang,71
Male,30-34,2013,Penang,90
Male,35-39,2013,Penang,126
Male,40-44,2013,Penang,196
Male,45-49,2013,Penang,290
Male,50-54,2013,Penang,402
Male,55-59,2013,Penang,519
Male,60-64,2013,Penang,607
Male,65-69,2013,Penang,630
Male,70-74,2013,Penang,662
Male,75-79,2013,Penang,640
Male,80-84,2013,Penang,447
Male,85 +,2013,Penang,425
Female,Under 1 year,2013,Penang,52
Female,1-4,2013,Penang,13
Female,5-9,2013,Penang,12
Female,10-14,2013,Penang,9
Female,15-19,2013,Penang,16
Female,20-24,2013,Penang,28
Female,25-29,2013,Penang,32
Female,30-34,2013,Penang,36
Female,35-39,2013,Penang,53
Female,40-44,2013,Penang,68
Female,45-49,2013,Penang,115
Female,50-54,2013,Penang,187
Female,55-59,2013,Penang,251
Female,60-64,2013,Penang,326
Female,65-69,2013,Penang,404
Female,70-74,2013,Penang,485
Female,75-79,2013,Penang,655
Female,80-84,2013,Penang,557
Female,85 +,2013,Penang,860
Male,Under 1 year,2013,Johor,193
Male,Under 1 year,2013,Kedah,131
Male,Under 1 year,2013,Kelantan,164
Male,Under 1 year,2013,Melaka,48
Male,Under 1 year,2013,Negeri Sembilan,68
Male,Under 1 year,2014,Penang,65
Male,Under 1 year,2013,Pahang,147
Male,Under 1 year,2013,Perak,137
Male,Under 1 year,2013,Perlis,22
Male,Under 1 year,2013,Sabah,0
Male,Under 1 year,2013,Sarawak,135
Male,Under 1 year,2013,Selangor,349
Male,Under 1 year,2013,Terengganu,138
Male,Under 1 year,2013,W.P. Kuala Lumpur,76
Male,1-4,2014,Penang,17
Male,Under 1 year,2013,W.P. Putrajaya,21
Male,1-4,2013,Johor,45
Male,1-4,2013,Kedah,34
Male,1-4,2013,Kelantan,34
Male,1-4,2013,Melaka,9
Male,1-4,2013,Negeri Sembilan,16
Male,5-9,2014,Penang,15
Male,1-4,2013,Pahang,35
Male,1-4,2013,Perak,48
Male,1-4,2013,Perlis,2
Male,1-4,2013,Sabah,0
Male,1-4,2013,Sarawak,48
Male,1-4,2013,Selangor,68
Male,1-4,2013,Terengganu,20
Male,1-4,2013,W.P. Kuala Lumpur,12
Male,10-14,2014,Penang,23
Male,1-4,2013,W.P. Putrajaya,1
Male,5-9,2013,Johor,33
Male,5-9,2013,Kedah,25
Male,5-9,2013,Kelantan,26
Male,5-9,2013,Melaka,3
Male,5-9,2013,Negeri Sembilan,8
Male,15-19,2014,Penang,72
Male,5-9,2013,Pahang,22
Male,5-9,2013,Perak,25
Male,5-9,2013,Perlis,4
Male,5-9,2013,Sabah,0
Male,5-9,2013,Sarawak,33
Male,5-9,2013,Selangor,44
Male,5-9,2013,Terengganu,32
Male,5-9,2013,W.P. Kuala Lumpur,12
Male,20-24,2014,Penang,70
Male,5-9,2013,W.P. Putrajaya,1
Male,10-14,2013,Johor,59
Male,10-14,2013,Kedah,36
Male,10-14,2013,Kelantan,47
Male,10-14,2013,Melaka,13
Male,10-14,2013,Negeri Sembilan,15
Male,25-29,2014,Penang,79
Male,10-14,2013,Pahang,28
Male,10-14,2013,Perak,41
Male,10-14,2013,Perlis,9
Male,10-14,2013,Sabah,0
Male,10-14,2013,Sarawak,36
Male,10-14,2013,Selangor,75
Male,10-14,2013,Terengganu,41
Male,10-14,2013,W.P. Kuala Lumpur,11
Male,30-34,2014,Penang,98
Male,10-14,2013,W.P. Putrajaya,1
Male,15-19,2013,Johor,233
Male,15-19,2013,Kedah,138
Male,15-19,2013,Kelantan,117
Male,15-19,2013,Melaka,49
Male,15-19,2013,Negeri Sembilan,70
Male,35-39,2014,Penang,134
Male,15-19,2013,Pahang,134
Male,15-19,2013,Perak,146
Male,15-19,2013,Perlis,16
Male,15-19,2013,Sabah,0
Male,15-19,2013,Sarawak,110
Male,15-19,2013,Selangor,216
Male,15-19,2013,Terengganu,97
Male,15-19,2013,W.P. Kuala Lumpur,26
Male,40-44,2014,Penang,200
Male,15-19,2013,W.P. Putrajaya,4
Male,20-24,2013,Johor,260
Male,20-24,2013,Kedah,136
Male,20-24,2013,Kelantan,151
Male,20-24,2013,Melaka,53
Male,20-24,2013,Negeri Sembilan,90
Male,45-49,2014,Penang,274
Male,20-24,2013,Pahang,102
Male,20-24,2013,Perak,150
Male,20-24,2013,Perlis,19
Male,20-24,2013,Sabah,0
Male,20-24,2013,Sarawak,138
Male,20-24,2013,Selangor,282
Male,20-24,2013,Terengganu,95
Male,20-24,2013,W.P. Kuala Lumpur,63
Male,50-54,2014,Penang,398
Male,20-24,2013,W.P. Putrajaya,2
Male,25-29,2013,Johor,221
Male,25-29,2013,Kedah,120
Male,25-29,2013,Kelantan,112
Male,25-29,2013,Melaka,56
Male,25-29,2013,Negeri Sembilan,93
Male,55-59,2014,Penang,491
Male,25-29,2013,Pahang,137
Male,25-29,2013,Perak,162
Male,25-29,2013,Perlis,13
Male,25-29,2013,Sabah,0
